epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,114.965,1.82719,4.00189,1.00845,0.3429,0.21777,0.1879,0.08694,2.12442,4.12618,1.2964,0.0004258,0.0004258,0.0004258
60,116.724,1.79115,4.05162,1.00235,0.3429,0.21777,0.1879,0.08694,2.12442,4.12618,1.2964,0.0004159,0.0004159,0.0004159
61,118.668,1.9592,4.59692,1.08149,0.35955,0.21826,0.18953,0.08797,2.12854,4.08463,1.2968,0.000406,0.000406,0.000406
62,120.599,1.87281,3.79324,1.01482,0.35955,0.21826,0.18953,0.08797,2.12854,4.08463,1.2968,0.0003961,0.0003961,0.0003961
63,122.41,1.72094,3.71258,1.0078,0.34754,0.22515,0.19066,0.08623,2.13378,4.05108,1.29698,0.0003862,0.0003862,0.0003862
64,124.274,1.83182,3.6461,1.0219,0.34754,0.22515,0.19066,0.08623,2.13378,4.05108,1.29698,0.0003763,0.0003763,0.0003763
65,126.365,1.81448,3.9079,1.00196,0.32262,0.21253,0.1984,0.0912,2.13172,4.03084,1.29815,0.0003664,0.0003664,0.0003664
66,128.542,2.00021,3.75335,1.03365,0.32262,0.21253,0.1984,0.0912,2.13172,4.03084,1.29815,0.0003565,0.0003565,0.0003565
67,130.414,1.90623,3.77609,0.98847,0.33505,0.21937,0.20875,0.09481,2.12709,4.03035,1.30034,0.0003466,0.0003466,0.0003466
68,132.322,1.76836,3.65656,1.00291,0.33505,0.21937,0.20875,0.09481,2.12709,4.03035,1.30034,0.0003367,0.0003367,0.0003367
69,134.34,1.97655,4.0013,0.98193,0.40164,0.216,0.22741,0.10037,2.116,4.02977,1.29458,0.0003268,0.0003268,0.0003268
70,136.161,1.93118,3.78804,1.04318,0.40164,0.216,0.22741,0.10037,2.116,4.02977,1.29458,0.0003169,0.0003169,0.0003169
71,138.206,2.02346,4.55724,0.96936,0.4254,0.21927,0.23554,0.10547,2.10476,4.01246,1.28735,0.000307,0.000307,0.000307
