epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,149.302,1.85792,3.4577,0.98104,0.34601,0.299,0.27789,0.13228,2.03832,3.58783,1.24265,0.0003565,0.0003565,0.0003565
67,151.512,1.80778,3.27509,0.95955,0.33631,0.31378,0.28227,0.13318,2.0487,3.59721,1.24119,0.0003466,0.0003466,0.0003466
68,154.151,1.72345,3.19937,0.98757,0.33631,0.31378,0.28227,0.13318,2.0487,3.59721,1.24119,0.0003367,0.0003367,0.0003367
69,156.612,1.92863,3.42779,0.95164,0.35761,0.32378,0.29067,0.13293,2.03568,3.58769,1.23445,0.0003268,0.0003268,0.0003268
70,158.926,1.79435,3.27564,0.9848,0.35761,0.32378,0.29067,0.13293,2.03568,3.58769,1.23445,0.0003169,0.0003169,0.0003169
71,161.316,1.90564,3.69162,0.93677,0.36051,0.30872,0.28542,0.13123,2.02217,3.59757,1.22274,0.000307,0.000307,0.000307
72,163.56,1.75997,3.38272,0.98924,0.36051,0.30872,0.28542,0.13123,2.02217,3.59757,1.22274,0.0002971,0.0002971,0.0002971
73,165.725,1.90159,3.59665,1.09915,0.45682,0.26317,0.28405,0.133,2.00277,3.55621,1.2121,0.0002872,0.0002872,0.0002872
74,167.865,1.76576,3.14275,0.94683,0.46158,0.25868,0.28059,0.13562,1.98701,3.50749,1.21026,0.0002773,0.0002773,0.0002773
75,170.156,1.57335,3.26633,1.00918,0.46158,0.25868,0.28059,0.13562,1.98701,3.50749,1.21026,0.0002674,0.0002674,0.0002674
76,172.298,1.6089,2.92961,0.98849,0.44576,0.2529,0.29156,0.14264,1.98779,3.45794,1.21348,0.0002575,0.0002575,0.0002575
77,174.632,1.66146,3.24593,0.97071,0.44576,0.2529,0.29156,0.14264,1.98779,3.45794,1.21348,0.0002476,0.0002476,0.0002476
78,176.864,1.68616,3.2892,1.00348,0.35075,0.29886,0.29762,0.14656,1.98321,3.43983,1.21593,0.0002377,0.0002377,0.0002377
79,179.114,1.76129,3.18257,0.97182,0.35075,0.29886,0.29762,0.14656,1.98321,3.43983,1.21593,0.0002278,0.0002278,0.0002278
80,181.508,1.98982,2.95139,0.98236,0.41758,0.29463,0.30053,0.15084,1.98226,3.43774,1.2174,0.0002179,0.0002179,0.0002179
81,183.587,1.72299,2.82842,0.94298,0.41758,0.29463,0.30053,0.15084,1.98226,3.43774,1.2174,0.000208,0.000208,0.000208
82,185.766,1.66556,2.90396,0.97445,0.43121,0.28729,0.29896,0.14947,1.97912,3.43707,1.21655,0.0001981,0.0001981,0.0001981
